Designator;Mid X;Mid Y;Layer;Rotation;;;;
C9;127,9000;-88,9125;bottom;90;;;;
C10;107,9975;-108,4250;bottom;0;;;;
C14;117,0750;-93,6125;bottom;90;;;;
C1;170,9400;-138,0624;top;90;;;;
C2;155,3900;-121,8400;top;-90;;;;
C3;90,9673;-69,8824;top;-90;;;;
C4;146,3040;-133,0575;top;-90;;;;
C5;142,2185;-132,0800;top;180;;;;
C6;167,6908;-79,5166;top;-90;;;;
C8;184,5949;-99,4664;top;180;;;;
C11;158,7623;-116,4844;top;180;;;;
C12;138,2496;-86,0805;top;-90;;;;
C13;138,2526;-81,4755;top;90;;;;
C15;138,1506;-56,8198;top;90;;;;
C16;187,3800;-121,3750;top;0;;;;
C17;156,4383;-61,4914;top;180;;;;
C18;166,4400;-124,6675;top;90;;;;
C19;97,5500;-67,4000;top;90;;;;
C20;99,9100;-65,4125;top;90;;;;
C21;141,1800;-57,2575;top;90;;;;
C22;184,1275;-114,9400;top;180;;;;
C23;108,0900;-72,0600;top;0;;;;
D1;171,0700;-130,5615;top;90;;;;
D2;107,2086;-122,6716;top;0;;;;
D3;185,1500;-117,6000;top;180;;;;
D4;97,3550;-54,3400;top;0;;;;
D5;134,9756;-53,9496;top;-90;;;;
D6;147,2484;-69,3790;top;0;;;;
D7;189,8562;-74,3824;top;180;;;;
D8;189,9412;-80,1370;top;180;;;;
D9;145,3300;-79,9958;top;0;;;;
D10;145,3388;-74,1680;top;0;;;;
D11;174,6162;-85,9140;top;0;;;;
D12;174,6504;-91,7194;top;0;;;;
D13;160,5700;-91,6798;top;180;;;;
D14;160,5788;-85,8378;top;180;;;;
J2;95,6100;-122,2000;top;-90;;;;
J3;129,3208;-123,9670;top;-90;;;;
J4;172,2250;-53,8250;top;180;;;;
J5;111,6700;-58,1800;top;180;;;;
J6;150,6000;-53,8500;top;180;;;;
J7;190,3100;-130,5300;top;90;;;;
J8;161,4250;-53,8500;top;180;;;;
J9;182,9250;-53,8250;top;180;;;;
J10;189,8600;-108,7200;top;90;;;;
JP1;129,3208;-119,6670;top;-90;;;;
L1;171,0000;-124,9000;top;90;;;;
Q1;157,4084;-65,8790;top;-90;;;;
Q2;134,9050;-66,8500;top;0;;;;
Q3;175,1140;-114,7010;top;-90;;;;
R1;162,1500;-123,9500;top;0;;;;
R2;168,6400;-125,2600;top;90;;;;
R3;98,4673;-72,4324;top;90;;;;
R4;181,3726;-95,8200;top;0;;;;
R5;152,2896;-95,7946;top;180;;;;
R6;107,0500;-115,2300;top;180;;;;
R7;111,0600;-112,5500;top;-90;;;;
R9;134,2300;-119,0700;top;180;;;;
R10;105,1943;-71,1994;top;90;;;;
R11;105,1943;-67,4394;top;-90;;;;
R12;166,8038;-119,0213;top;90;;;;
R13;168,3963;-108,5138;top;90;;;;
R14;173,2288;-108,3463;top;-90;;;;
R15;170,8963;-115,9638;top;-90;;;;
R16;158,0288;-108,7963;top;-90;;;;
R17;162,5750;-118,8500;top;0;;;;
R18;160,9852;-111,9632;top;-90;;;;
R19;163,3713;-108,4638;top;90;;;;
R20;111,3836;-122,6716;top;180;;;;
R21;97,3550;-56,4750;top;0;;;;
R22;178,0440;-113,9710;top;0;;;;
R23;135,5500;-68,9750;top;0;;;;
R24;154,1584;-65,6762;top;180;;;;
R25;111,0243;-67,4094;top;-90;;;;
R26;111,0243;-71,1694;top;90;;;;
SW1;166,6774;-65,7204;top;90;;;;
SW2;109,1000;-96,2000;top;180;;;;
SW3;98,2000;-96,3000;top;180;;;;
SW4;103,6000;-78,6500;top;180;;;;
SW5;103,5500;-89,5750;top;180;;;;
SW6;98,1750;-84,1000;top;180;;;;
SW7;108,8750;-84,1250;top;180;;;;
SW8;183,0147;-122,0914;top;-90;;;;
SW9;138,6650;-61,0000;top;0;;;;
SW10;134,3297;-124,2402;top;90;;;;
U1;101,7650;-69,9050;top;180;;;;
U2;94,2798;-69,1074;top;0;;;;
U3;157,1450;-132,9750;top;180;;;;
U4;175,8000;-95,8100;top;180;;;;
U5;107,1650;-108,5500;top;-90;;;;
U6;165,8713;-113,7888;top;180;;;;
U7;130,0888;-115,4948;top;180;;;;
U8;108,2960;-69,2276;top;180;;;;
U10;143,5160;-119,9280;top;90;;;;
Y1;134,5696;-83,7830;top;90;;;;
