Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,120u,
"C10, C11, C14, C20, C4, C8, C9",1206,7,100n,
"C12, C13",0805,2,15p,
"C15, C16, C17",1206,3,47n,
C18,0805,1,1n,
"C19, C3",1206,2,4u7,
"C2, C6",CP_Radial_D6.3mm_P2.50mm,2,470u,
"C21, C22",0805,2,33n,
C23,0805,1,100n,
C5,0805,1,100u,
D1,D_SMP_DO-220AA,1,SS3P5,
"D10, D11, D12, D13, D14, D7, D8, D9",D_DO-201AD_P15.24mm_Horizontal,8,1N5822,
D2,0805,1,R_LED,
"D3, D5, D6",D_DO-41_SOD81_P10.16mm_Horizontal,3,1N5817,
D4,0805,1,G_LED,
J10,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Vbat,
"J2, J5",DSUB-9_Socket_Vertical_P2.77x2.84mm_MountingHoles,2,DE9_Pins,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J4,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Motor3,
J6,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Intermitente,
J7,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Calentador,
J8,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Motor2,
J9,"TerminalBlock_TE_282834-2_1x02_5,08mm_Horizontal",1,Motor1,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Open,
L1,0805,1,33u,
"Q1, Q2, Q3",SOT-523,3,DTC144E,
"R1, R12, R14, R16, R17",1206,5,1k,
"R10, R11, R25, R26",0805,4,1K,
"R13, R15, R18, R19",1206,4,100k,
R2,1206,1,3k9,
R20,0805,1,100,
R21,0805,1,150,
"R22, R23",0805,2,120,
R24,0805,1,180,
R3,1206,1,10k,
"R4, R5",1206,2,50m,
R6,0805,1,60,
R7,1206,1,15k,
R9,1206,1,33k,
SW1,Relay_DPDT_Omron_G6S-2F,1,SW_DPDT_G6S,
SW10,SW_SPST_PTS647_Sx38,1,SW_Push,
SW2,SW_SPST_PTS647_Sx38,1,UN/FOLD,
SW3,SW_SPST_PTS647_Sx38,1,HEAT,
SW4,SW_SPST_PTS647_Sx38,1,UP,
SW5,SW_SPST_PTS647_Sx38,1,DOWN,
SW6,SW_SPST_PTS647_Sx38,1,LEFT,
SW7,SW_SPST_PTS647_Sx38,1,RIGHT,
"SW8, SW9",Relay_SPDT_HsinDa_Y14,2,FN01B,
U1,CH201,1,CH201,
U10,TO-263-3_TabPin2,1,LM1117DT-5.0,
U2,TSOT-23-5,1,ADM7160,
U3,TO-263-5_TabPin3,1,LM2596S-ADJ,
U4,TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical,1,L298N,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ADA4511-2,
U7,DIP-40_W15.24mm,1,PIC18F4480-IP,
U8,LSF0002,1,LSF0002,
Y1,Crystal_SMD_HC49-SD_Practica3,1,Crystal,
