Designator,Mid X,Mid Y,Rotation,Layer
C1,170.94,-136.81238,90.0,top
C10,107.9675,-108.42,180.0,bottom
C11,158.7623,-116.4844,180.0,top
C12,138.2496,-86.0805,270.0,top
C13,138.2526,-81.4755,90.0,top
C14,117.075,-93.6125,90.0,bottom
C15,138.1506,-56.8198,90.0,top
C16,187.38,-121.375,0.0,top
C17,156.4383,-61.4914,180.0,top
C18,166.44,-124.6675,90.0,top
C19,97.55,-67.4,90.0,top
C2,155.39,-123.09,270.0,top
C20,99.91,-65.4125,90.0,top
C21,141.18,-57.2575,90.0,top
C22,184.1275,-114.94,180.0,top
C23,108.09,-72.06,0.0,top
C3,90.96733,-69.882377,270.0,top
C4,146.304,-133.0575,270.0,top
C5,142.2185,-132.08,180.0,top
C6,167.6908,-80.7666,270.0,top
C8,184.5949,-99.4664,180.0,top
C9,127.9,-88.9125,90.0,bottom
D1,171.07,-130.5615,90.0,top
D10,152.9588,-74.168,0.0,top
D11,182.2362,-85.914,0.0,top
D12,182.2704,-91.7194,0.0,top
D13,152.95,-91.6798,180.0,top
D14,152.9588,-85.8378,180.0,top
D2,107.2086,-122.6716,0.0,top
D3,180.07,-117.6,180.0,top
D4,97.355,-54.34,0.0,top
D5,134.9756,-59.0296,270.0,top
D6,152.3284,-69.379,0.0,top
D7,182.2362,-74.3824,180.0,top
D8,182.3212,-80.137,180.0,top
D9,152.95,-79.9958,0.0,top
J10,189.86,-106.18,90.0,top
J2,94.19,-116.66,270.0,top
J3,124.2408,-123.967,270.0,top
J4,169.685,-53.825,180.0,top
J5,117.21,-56.76,180.0,top
J6,148.06,-53.85,180.0,top
J7,190.31,-127.99,90.0,top
J8,158.885,-53.85,180.0,top
J9,180.385,-53.825,180.0,top
JP1,126.7808,-119.667,270.0,top
L1,171.0,-124.9,90.0,top
Q1,157.4084,-65.879,270.0,top
Q2,134.905,-66.85,0.0,top
Q3,175.114,-114.701,270.0,top
R1,162.15,-123.95,0.0,top
R10,105.19433,-71.199377,90.0,top
R11,105.19433,-67.439377,270.0,top
R12,166.80375,-119.02125,90.0,top
R13,168.39625,-108.51375,90.0,top
R14,173.22875,-108.34625,270.0,top
R15,170.89625,-115.96375,270.0,top
R16,158.02875,-108.79625,270.0,top
R17,162.575,-118.85,0.0,top
R18,160.9852,-111.9632,270.0,top
R19,163.37125,-108.46375,90.0,top
R2,168.64,-125.26,90.0,top
R20,111.3836,-122.6716,180.0,top
R21,97.355,-56.475,0.0,top
R22,178.044,-113.971,0.0,top
R23,135.55,-68.975,0.0,top
R24,154.1584,-65.6762,180.0,top
R25,111.02433,-67.409377,270.0,top
R26,111.02433,-71.169377,90.0,top
R3,98.46733,-72.432377,90.0,top
R4,181.3726,-95.82,0.0,top
R5,152.2896,-95.7946,180.0,top
R6,107.05,-115.23,180.0,top
R7,111.06,-112.55,270.0,top
R9,134.23,-119.07,180.0,top
SW1,166.6774,-65.7204,90.0,top
SW10,134.3297,-124.2402,90.0,top
SW2,109.1,-96.2,180.0,top
SW3,98.2,-96.3,180.0,top
SW4,103.6,-78.65,180.0,top
SW5,103.55,-89.575,180.0,top
SW6,98.175,-84.1,180.0,top
SW7,108.875,-84.125,180.0,top
SW8,180.4747,-127.1714,270.0,top
SW9,143.745,-63.54,0.0,top
U1,101.785,-69.9,180.0,top
U10,143.516,-119.928,90.0,top
U2,94.27983,-69.107377,180.0,top
U3,157.145,-132.975,180.0,top
U4,166.91,-98.35,180.0,top
U5,107.165,-108.55,180.0,top
U6,165.87125,-113.78875,90.0,top
U7,122.4688,-91.3648,180.0,top
U8,107.996,-68.8276,180.0,top
Y1,134.5696,-83.783,90.0,top
